Time,Value
2024-04-24 01:00:01+00:00,3242.392144927
2024-04-24 01:00:11+00:00,3242.6606681572503
2024-04-24 01:00:21+00:00,3242.755987879667
2024-04-24 01:00:31+00:00,3242.632043086625
2024-04-24 01:00:41+00:00,3242.5724346176003
2024-04-24 01:00:51+00:00,3242.5275433055
2024-04-24 01:01:01+00:00,3242.5187181444285
2024-04-24 01:01:11+00:00,3242.554975009875
2024-04-24 01:01:21+00:00,3242.6429128141663
2024-04-24 01:01:31+00:00,3242.73943697375
2024-04-24 01:01:41+00:00,3242.795760726273
2024-04-24 01:01:51+00:00,3242.862911491667
2024-04-24 01:02:01+00:00,3242.9652330813074
2024-04-24 01:02:11+00:00,3243.0871101745356
2024-04-24 01:02:21+00:00,3243.2072953292
2024-04-24 01:02:31+00:00,3243.339596721625
2024-04-24 01:02:41+00:00,3243.4752463091763
2024-04-24 01:02:51+00:00,3243.6269772785554
2024-04-24 01:03:01+00:00,3243.779594175237
2024-04-24 01:03:11+00:00,3243.942355306575
2024-04-24 01:03:21+00:00,3244.116104252024
2024-04-24 01:03:31+00:00,3244.2922520819093
2024-04-24 01:03:41+00:00,3244.4582050535437
2024-04-24 01:03:51+00:00,3244.632179132354
2024-04-24 01:04:01+00:00,3244.78315996228
2024-04-24 01:04:11+00:00,3244.9133617667885
2024-04-24 01:04:21+00:00,3245.0461671902594
2024-04-24 01:04:31+00:00,3245.168774977982
2024-04-24 01:04:41+00:00,3245.2956177285
2024-04-24 01:04:51+00:00,3245.414433268033
2024-04-24 01:05:01+00:00,3245.5120098108873
2024-04-24 01:05:11+00:00,3245.5952274835
2024-04-24 01:05:21+00:00,3245.6656868787272
2024-04-24 01:05:31+00:00,3245.7170826662204
2024-04-24 01:05:41+00:00,3245.7503150285283
2024-04-24 01:05:51+00:00,3245.7728241563195
2024-04-24 01:06:01+00:00,3245.7942230744457
2024-04-24 01:06:11+00:00,3245.8129876696316
2024-04-24 01:06:21+00:00,3245.817205611705
2024-04-24 01:06:31+00:00,3245.8133299375627
2024-04-24 01:06:41+00:00,3245.8439193476947
2024-04-24 01:06:51+00:00,3245.887733667405
2024-04-24 01:07:01+00:00,3245.934402416907
2024-04-24 01:07:11+00:00,3245.964123926136
2024-04-24 01:07:21+00:00,3245.9891697197995
2024-04-24 01:07:31+00:00,3246.005044326348
2024-04-24 01:07:41+00:00,3246.0223267380743
2024-04-24 01:07:51+00:00,3246.0593011092915
2024-04-24 01:08:01+00:00,3246.086347767602
2024-04-24 01:08:11+00:00,3246.10071577455
2024-04-24 01:08:21+00:00,3246.1171750876374
2024-04-24 01:08:31+00:00,3246.12360835126
2024-04-24 01:08:41+00:00,3246.101774047783
2024-04-24 01:08:51+00:00,3246.08190528187
2024-04-24 01:09:01+00:00,3246.062492733527
2024-04-24 01:09:11+00:00,3246.047089692179
2024-04-24 01:09:21+00:00,3246.0352214710088
2024-04-24 01:09:31+00:00,3246.02086844169
2024-04-24 01:09:41+00:00,3246.0040047215
2024-04-24 01:09:51+00:00,3245.977418984675
2024-04-24 01:10:01+00:00,3245.943264397197
2024-04-24 01:10:11+00:00,3245.914527996508
2024-04-24 01:10:21+00:00,3245.89467323596
2024-04-24 01:10:31+00:00,3245.8772321488045
2024-04-24 01:10:41+00:00,3245.864726702485
2024-04-24 01:10:51+00:00,3245.8529768774165
2024-04-24 01:11:01+00:00,3245.8459904077686
2024-04-24 01:11:11+00:00,3245.8490818651103
2024-04-24 01:11:21+00:00,3245.8427533546446
2024-04-24 01:11:31+00:00,3245.8309717741718
2024-04-24 01:11:41+00:00,3245.819567423972
2024-04-24 01:11:51+00:00,3245.8160165265
2024-04-24 01:12:01+00:00,3245.817635415096
2024-04-24 01:12:11+00:00,3245.818836797615
2024-04-24 01:12:21+00:00,3245.83854874044
2024-04-24 01:12:31+00:00,3245.857152411513
2024-04-24 01:12:41+00:00,3245.8693507028506
2024-04-24 01:12:51+00:00,3245.8815350451027
2024-04-24 01:13:01+00:00,3245.89218342669
2024-04-24 01:13:11+00:00,3245.8955188639748
2024-04-24 01:13:21+00:00,3245.8923593258332
2024-04-24 01:13:31+00:00,3245.8838818613413
2024-04-24 01:13:41+00:00,3245.869450344024
2024-04-24 01:13:51+00:00,3245.838226427286
2024-04-24 01:14:01+00:00,3245.798657122006
2024-04-24 01:14:11+00:00,3245.7599030647793
2024-04-24 01:14:21+00:00,3245.722355047707
2024-04-24 01:14:31+00:00,3245.695926747517
2024-04-24 01:14:41+00:00,3245.665824536938
2024-04-24 01:14:51+00:00,3245.6347461424107
2024-04-24 01:15:01+00:00,3245.599379996094
2024-04-24 01:15:11+00:00,3245.5560605203045
2024-04-24 01:15:21+00:00,3245.5119801137416
2024-04-24 01:15:31+00:00,3245.4656507319787
2024-04-24 01:15:41+00:00,3245.424572916237
2024-04-24 01:15:51+00:00,3245.391709120859
2024-04-24 01:16:01+00:00,3245.361534076923
2024-04-24 01:16:11+00:00,3245.3379235413317
2024-04-24 01:16:21+00:00,3245.3212578344796
2024-04-24 01:16:31+00:00,3245.307263623455
2024-04-24 01:16:41+00:00,3245.2847655065248
2024-04-24 01:16:51+00:00,3245.2615243288724
2024-04-24 01:17:01+00:00,3245.237905294432
2024-04-24 01:17:11+00:00,3245.2231939620387
2024-04-24 01:17:21+00:00,3245.2101648385665
2024-04-24 01:17:31+00:00,3245.197865129901
2024-04-24 01:17:41+00:00,3245.18358023557
2024-04-24 01:17:51+00:00,3245.1667713994675
2024-04-24 01:18:01+00:00,3245.1500919582427
2024-04-24 01:18:11+00:00,3245.1363127631907
2024-04-24 01:18:21+00:00,3245.1251279292565
2024-04-24 01:18:31+00:00,3245.115752990388
2024-04-24 01:18:41+00:00,3245.10427046623
2024-04-24 01:18:51+00:00,3245.0942021400174
2024-04-24 01:19:01+00:00,3245.084265537687
2024-04-24 01:19:11+00:00,3245.0698917110685
2024-04-24 01:19:21+00:00,3245.0574131205
2024-04-24 01:19:31+00:00,3245.047071806729
2024-04-24 01:19:41+00:00,3245.0392589201724
2024-04-24 01:19:51+00:00,3245.0324494422375
2024-04-24 01:20:01+00:00,3245.0188377733675
2024-04-24 01:20:11+00:00,3245.003955001307
2024-04-24 01:20:21+00:00,3244.9890338787395
2024-04-24 01:20:31+00:00,3244.9742973325806
2024-04-24 01:20:41+00:00,3244.959996123504
2024-04-24 01:20:51+00:00,3244.949550503607
2024-04-24 01:21:01+00:00,3244.941808226807
2024-04-24 01:21:11+00:00,3244.9330198111015
2024-04-24 01:21:21+00:00,3244.9240572805465
2024-04-24 01:21:31+00:00,3244.9144735656846
2024-04-24 01:21:41+00:00,3244.903665308454
2024-04-24 01:21:51+00:00,3244.89248869436
2024-04-24 01:22:01+00:00,3244.881200211466
2024-04-24 01:22:11+00:00,3244.8713630362236
2024-04-24 01:22:21+00:00,3244.8651445033997
2024-04-24 01:22:31+00:00,3244.858239114331
2024-04-24 01:22:41+00:00,3244.8540958441495
2024-04-24 01:22:51+00:00,3244.8531831174964
2024-04-24 01:23:01+00:00,3244.8516834016978
2024-04-24 01:23:11+00:00,3244.8551883961786
2024-04-24 01:23:21+00:00,3244.8607541678866
2024-04-24 01:23:31+00:00,3244.867649081606
2024-04-24 01:23:41+00:00,3244.8749751222585
2024-04-24 01:23:51+00:00,3244.883037167337
2024-04-24 01:24:01+00:00,3244.8916265748826
2024-04-24 01:24:11+00:00,3244.9023548351984
2024-04-24 01:24:21+00:00,3244.9148694429114
2024-04-24 01:24:31+00:00,3244.9301060680605
2024-04-24 01:24:41+00:00,3244.944542585537
2024-04-24 01:24:51+00:00,3244.9602238802963
2024-04-24 01:25:01+00:00,3244.9765155909504
2024-04-24 01:25:11+00:00,3244.992630703171
2024-04-24 01:25:21+00:00,3245.010033330663
2024-04-24 01:25:31+00:00,3245.0263786231008
2024-04-24 01:25:41+00:00,3245.0423749554775
2024-04-24 01:25:51+00:00,3245.0573927770065
2024-04-24 01:26:01+00:00,3245.070149161137
2024-04-24 01:26:11+00:00,3245.0816044733037
2024-04-24 01:26:21+00:00,3245.0943607021413
2024-04-24 01:26:31+00:00,3245.1096262137467
2024-04-24 01:26:41+00:00,3245.1239618648665
2024-04-24 01:26:51+00:00,3245.1389559476916
2024-04-24 01:27:01+00:00,3245.153822362445
2024-04-24 01:27:11+00:00,3245.169227174939
2024-04-24 01:27:21+00:00,3245.1868645048785
2024-04-24 01:27:31+00:00,3245.2079242677983
2024-04-24 01:27:41+00:00,3245.230020092467
2024-04-24 01:27:51+00:00,3245.253387152003
2024-04-24 01:28:01+00:00,3245.277213736905
2024-04-24 01:28:11+00:00,3245.3007259047968
2024-04-24 01:28:21+00:00,3245.3250166116873
2024-04-24 01:28:31+00:00,3245.3455383466744
2024-04-24 01:28:41+00:00,3245.365252231072
2024-04-24 01:28:51+00:00,3245.3791467657957
2024-04-24 01:29:01+00:00,3245.3931916688257
2024-04-24 01:29:11+00:00,3245.409204573321
2024-04-24 01:29:21+00:00,3245.4258545062658
2024-04-24 01:29:31+00:00,3245.442703485478
2024-04-24 01:29:41+00:00,3245.458782359972
2024-04-24 01:29:51+00:00,3245.475535437272
2024-04-24 01:30:01+00:00,3245.494215966837
2024-04-24 01:30:11+00:00,3245.532140254674
2024-04-24 01:30:21+00:00,3245.5649497470554
2024-04-24 01:30:31+00:00,3245.593690157055
2024-04-24 01:30:41+00:00,3245.6216554579996
2024-04-24 01:30:51+00:00,3245.6464352810167
2024-04-24 01:31:01+00:00,3245.6713965213594
2024-04-24 01:31:11+00:00,3245.6914724647677
2024-04-24 01:31:21+00:00,3245.704756166055
2024-04-24 01:31:31+00:00,3245.7166175553425
2024-04-24 01:31:41+00:00,3245.7263576108976
2024-04-24 01:31:51+00:00,3245.733786041022
2024-04-24 01:32:01+00:00,3245.738604072641
2024-04-24 01:32:11+00:00,3245.740369061735
2024-04-24 01:32:21+00:00,3245.7432577277127
2024-04-24 01:32:31+00:00,3245.7524988225114
2024-04-24 01:32:41+00:00,3245.756895073005
2024-04-24 01:32:51+00:00,3245.7616522393064
2024-04-24 01:33:01+00:00,3245.7636525867983
2024-04-24 01:33:11+00:00,3245.7696008560556
2024-04-24 01:33:21+00:00,3245.773482446812
2024-04-24 01:33:31+00:00,3245.770697013983
2024-04-24 01:33:41+00:00,3245.7621390913896
2024-04-24 01:33:51+00:00,3245.7533603798506
2024-04-24 01:34:01+00:00,3245.7419726853645
2024-04-24 01:34:11+00:00,3245.7328663504222
2024-04-24 01:34:21+00:00,3245.7271291549064
2024-04-24 01:34:31+00:00,3245.7195837458785
2024-04-24 01:34:41+00:00,3245.707807452669
2024-04-24 01:34:51+00:00,3245.691299770848
2024-04-24 01:35:01+00:00,3245.674446725533
2024-04-24 01:35:11+00:00,3245.6555430155026
2024-04-24 01:35:21+00:00,3245.6369825670467
2024-04-24 01:35:31+00:00,3245.6162388442544
2024-04-24 01:35:41+00:00,3245.5987645531022
2024-04-24 01:35:51+00:00,3245.5769687662073
2024-04-24 01:36:01+00:00,3245.5573836563976
2024-04-24 01:36:11+00:00,3245.536940036025
2024-04-24 01:36:21+00:00,3245.513028391188
2024-04-24 01:36:31+00:00,3245.5012284228533
2024-04-24 01:36:41+00:00,3245.4992063420805
2024-04-24 01:36:51+00:00,3245.4959160040385
2024-04-24 01:37:01+00:00,3245.491421347055
2024-04-24 01:37:11+00:00,3245.486740498746
2024-04-24 01:37:21+00:00,3245.490360851489
2024-04-24 01:37:31+00:00,3245.498728820179
2024-04-24 01:37:41+00:00,3245.513062161061
2024-04-24 01:37:51+00:00,3245.5234191051136
2024-04-24 01:38:01+00:00,3245.5284140211656
2024-04-24 01:38:11+00:00,3245.5404490805913
2024-04-24 01:38:21+00:00,3245.556353621647
2024-04-24 01:38:31+00:00,3245.572288094663
2024-04-24 01:38:41+00:00,3245.5940973782263
2024-04-24 01:38:51+00:00,3245.624734886481
2024-04-24 01:39:01+00:00,3245.655101112348
2024-04-24 01:39:11+00:00,3245.6833205343614
2024-04-24 01:39:21+00:00,3245.7105970875937
2024-04-24 01:39:31+00:00,3245.732051258497
2024-04-24 01:39:41+00:00,3245.749138138682
2024-04-24 01:39:51+00:00,3245.771523862569
2024-04-24 01:40:01+00:00,3245.804744675097
2024-04-24 01:40:11+00:00,3245.8449936897514
2024-04-24 01:40:21+00:00,3245.8860071030854
2024-04-24 01:40:31+00:00,3245.9241225956243
2024-04-24 01:40:41+00:00,3245.968334777475
2024-04-24 01:40:51+00:00,3246.0093406937676
2024-04-24 01:41:01+00:00,3246.050108420229
2024-04-24 01:41:11+00:00,3246.0913637025997
2024-04-24 01:41:21+00:00,3246.129069707119
2024-04-24 01:41:31+00:00,3246.172269088677
2024-04-24 01:41:41+00:00,3246.2157057903864
2024-04-24 01:41:51+00:00,3246.256812790027
2024-04-24 01:42:01+00:00,3246.29760375803
2024-04-24 01:42:11+00:00,3246.337169561036
2024-04-24 01:42:21+00:00,3246.3769817422676
2024-04-24 01:42:31+00:00,3246.409191577088
2024-04-24 01:42:41+00:00,3246.441873302807
2024-04-24 01:42:51+00:00,3246.4778739438125
2024-04-24 01:43:01+00:00,3246.5145027815142
2024-04-24 01:43:11+00:00,3246.5492291115274
2024-04-24 01:43:21+00:00,3246.587602790006
2024-04-24 01:43:31+00:00,3246.6298850353123
2024-04-24 01:43:41+00:00,3246.673110272956
2024-04-24 01:43:51+00:00,3246.7235912601245
2024-04-24 01:44:01+00:00,3246.7804245812567
2024-04-24 01:44:11+00:00,3246.8454947784476
2024-04-24 01:44:21+00:00,3246.9086898415276
2024-04-24 01:44:31+00:00,3246.9737021104447
2024-04-24 01:44:41+00:00,3247.0403828987987
2024-04-24 01:44:51+00:00,3247.110454365685
2024-04-24 01:45:01+00:00,3247.182834264666
2024-04-24 01:45:11+00:00,3247.261421560014
2024-04-24 01:45:21+00:00,3247.34164998821
2024-04-24 01:45:31+00:00,3247.4154031438316
2024-04-24 01:45:41+00:00,3247.4811212400637
2024-04-24 01:45:51+00:00,3247.545134951304
2024-04-24 01:46:01+00:00,3247.6081800612405
2024-04-24 01:46:11+00:00,3247.6719655499696
2024-04-24 01:46:21+00:00,3247.736992502155
2024-04-24 01:46:31+00:00,3247.802823785953
2024-04-24 01:46:41+00:00,3247.8659235569776
2024-04-24 01:46:51+00:00,3247.931727227202
2024-04-24 01:47:01+00:00,3247.9976692931714
2024-04-24 01:47:11+00:00,3248.0638846985908
2024-04-24 01:47:21+00:00,3248.1191936737046
2024-04-24 01:47:31+00:00,3248.168967313271
2024-04-24 01:47:41+00:00,3248.2183900118202
2024-04-24 01:47:51+00:00,3248.2710972191962
2024-04-24 01:48:01+00:00,3248.3318513933596
2024-04-24 01:48:11+00:00,3248.394656075442
2024-04-24 01:48:21+00:00,3248.4508498182013
2024-04-24 01:48:31+00:00,3248.503052437555
2024-04-24 01:48:41+00:00,3248.551759249033
2024-04-24 01:48:51+00:00,3248.5988837829336
2024-04-24 01:49:01+00:00,3248.641518989105
2024-04-24 01:49:11+00:00,3248.684865247486
2024-04-24 01:49:21+00:00,3248.734624953771
2024-04-24 01:49:31+00:00,3248.7843493043947
2024-04-24 01:49:41+00:00,3248.8309839999474
2024-04-24 01:49:51+00:00,3248.874772447591
2024-04-24 01:50:01+00:00,3248.9176700243033
2024-04-24 01:50:11+00:00,3248.9617018786134
2024-04-24 01:50:21+00:00,3249.0032222013233
2024-04-24 01:50:31+00:00,3249.0437303257954
2024-04-24 01:50:41+00:00,3249.080137818022
2024-04-24 01:50:51+00:00,3249.1137631210913
2024-04-24 01:51:01+00:00,3249.1448091106686
2024-04-24 01:51:11+00:00,3249.1693968462323
2024-04-24 01:51:21+00:00,3249.195533425552
2024-04-24 01:51:31+00:00,3249.2192758305137
2024-04-24 01:51:41+00:00,3249.249659193641
2024-04-24 01:51:51+00:00,3249.281281469456
2024-04-24 01:52:01+00:00,3249.3135160555053
2024-04-24 01:52:11+00:00,3249.3441456324776
2024-04-24 01:52:21+00:00,3249.375296147544
2024-04-24 01:52:31+00:00,3249.40269855792
2024-04-24 01:52:41+00:00,3249.4285744550966
2024-04-24 01:52:51+00:00,3249.443129562392
2024-04-24 01:53:01+00:00,3249.457416172102
2024-04-24 01:53:11+00:00,3249.464668869942
2024-04-24 01:53:21+00:00,3249.468042690506
2024-04-24 01:53:31+00:00,3249.4564318689095
2024-04-24 01:53:41+00:00,3249.4444222138454
2024-04-24 01:53:51+00:00,3249.4319546776937
2024-04-24 01:54:01+00:00,3249.4198083186743
2024-04-24 01:54:11+00:00,3249.4061866412276
2024-04-24 01:54:21+00:00,3249.390455202299
2024-04-24 01:54:31+00:00,3249.3705888758486
2024-04-24 01:54:41+00:00,3249.3468441376804
2024-04-24 01:54:51+00:00,3249.3218073834955
2024-04-24 01:55:01+00:00,3249.294270345343
2024-04-24 01:55:11+00:00,3249.2711057101164
2024-04-24 01:55:21+00:00,3249.247993286387
2024-04-24 01:55:31+00:00,3249.2226072806775
2024-04-24 01:55:41+00:00,3249.197648217799
2024-04-24 01:55:51+00:00,3249.169848994738
2024-04-24 01:56:01+00:00,3249.1417186984813
2024-04-24 01:56:11+00:00,3249.114786216578
2024-04-24 01:56:21+00:00,3249.08798695781
2024-04-24 01:56:31+00:00,3249.0582758159676
2024-04-24 01:56:41+00:00,3249.0255087729647
2024-04-24 01:56:51+00:00,3248.998118405583
2024-04-24 01:57:01+00:00,3248.9682930013787
2024-04-24 01:57:11+00:00,3248.9363207847823
2024-04-24 01:57:21+00:00,3248.9032484884674
2024-04-24 01:57:31+00:00,3248.868175438216
2024-04-24 01:57:41+00:00,3248.8304436867907
2024-04-24 01:57:51+00:00,3248.7909290001444
2024-04-24 01:58:01+00:00,3248.7485661232795
2024-04-24 01:58:11+00:00,3248.7045116059758
2024-04-24 01:58:21+00:00,3248.660547190984
2024-04-24 01:58:31+00:00,3248.6190760024315
2024-04-24 01:58:41+00:00,3248.5812977669316
2024-04-24 01:58:51+00:00,3248.5434263483544
2024-04-24 01:59:01+00:00,3248.51393750139
2024-04-24 01:59:11+00:00,3248.4836535940008
2024-04-24 01:59:21+00:00,3248.454928018393
2024-04-24 01:59:31+00:00,3248.4244361843294
2024-04-24 01:59:41+00:00,3248.3898051521055
2024-04-24 01:59:51+00:00,3248.3542181371167
2024-04-24 02:00:01+00:00,3248.3178136040033
2024-04-24 02:00:11+00:00,3248.281394599749
2024-04-24 02:00:21+00:00,3248.2489303701336
2024-04-24 02:00:31+00:00,3248.219834950534
2024-04-24 02:00:41+00:00,3248.1914471844507
2024-04-24 02:00:51+00:00,3248.161985477031
2024-04-24 02:01:01+00:00,3248.1312978250253
2024-04-24 02:01:11+00:00,3248.097478527816
2024-04-24 02:01:21+00:00,3248.0667093975558
2024-04-24 02:01:31+00:00,3248.036129907357
2024-04-24 02:01:41+00:00,3248.00029707784
2024-04-24 02:01:51+00:00,3247.9628194530615
2024-04-24 02:02:01+00:00,3247.926444999716
2024-04-24 02:02:11+00:00,3247.8917610861004
2024-04-24 02:02:21+00:00,3247.856696986705
2024-04-24 02:02:31+00:00,3247.81650827697
2024-04-24 02:02:41+00:00,3247.7680759713844
2024-04-24 02:02:51+00:00,3247.7208879308682
2024-04-24 02:03:01+00:00,3247.670883406374
2024-04-24 02:03:11+00:00,3247.6202192074647
2024-04-24 02:03:21+00:00,3247.565418331227
2024-04-24 02:03:31+00:00,3247.51108503184
2024-04-24 02:03:41+00:00,3247.460009392183
2024-04-24 02:03:51+00:00,3247.4125184715226
2024-04-24 02:04:01+00:00,3247.3670513725174
2024-04-24 02:04:11+00:00,3247.321468164724
2024-04-24 02:04:21+00:00,3247.2741104637907
2024-04-24 02:04:31+00:00,3247.230651108923
2024-04-24 02:04:41+00:00,3247.189882936462
2024-04-24 02:04:51+00:00,3247.1465638623213
2024-04-24 02:05:01+00:00,3247.091644424995
2024-04-24 02:05:11+00:00,3247.0354679152324
2024-04-24 02:05:21+00:00,3246.9858832431555
2024-04-24 02:05:31+00:00,3246.9381551688657
2024-04-24 02:05:41+00:00,3246.8989961422326
2024-04-24 02:05:51+00:00,3246.8594903710505
2024-04-24 02:06:01+00:00,3246.817449388255
2024-04-24 02:06:11+00:00,3246.7710364801856
2024-04-24 02:06:21+00:00,3246.7174829375726
2024-04-24 02:06:31+00:00,3246.6536231493847
2024-04-24 02:06:41+00:00,3246.5762685730915
2024-04-24 02:06:51+00:00,3246.4989151445143
2024-04-24 02:07:01+00:00,3246.423740632807
2024-04-24 02:07:11+00:00,3246.3472038235004
2024-04-24 02:07:21+00:00,3246.2729182324124
2024-04-24 02:07:31+00:00,3246.1963564986777
2024-04-24 02:07:41+00:00,3246.118300197048
2024-04-24 02:07:51+00:00,3246.0402958207465
2024-04-24 02:08:01+00:00,3245.960873230249
2024-04-24 02:08:11+00:00,3245.881883075479
2024-04-24 02:08:21+00:00,3245.7987363471584
2024-04-24 02:08:31+00:00,3245.7174338662408
2024-04-24 02:08:41+00:00,3245.6374293989843
2024-04-24 02:08:51+00:00,3245.554143050299
2024-04-24 02:09:01+00:00,3245.4685272473484
2024-04-24 02:09:11+00:00,3245.3831737354426
2024-04-24 02:09:21+00:00,3245.3022339540175
2024-04-24 02:09:31+00:00,3245.2276741603296
2024-04-24 02:09:41+00:00,3245.1579247276
2024-04-24 02:09:51+00:00,3245.0937003469066
2024-04-24 02:10:01+00:00,3245.024358207777
2024-04-24 02:10:11+00:00,3244.9477949324146
2024-04-24 02:10:21+00:00,3244.8598354444043
2024-04-24 02:10:31+00:00,3244.7726649111605
2024-04-24 02:10:41+00:00,3244.6834281471965
2024-04-24 02:10:51+00:00,3244.5869913422052
2024-04-24 02:11:01+00:00,3244.494289452749
2024-04-24 02:11:11+00:00,3244.403444425365
2024-04-24 02:11:21+00:00,3244.3115166213793
2024-04-24 02:11:31+00:00,3244.2188637420672
2024-04-24 02:11:41+00:00,3244.12626045207
2024-04-24 02:11:51+00:00,3244.0370839260445
2024-04-24 02:12:01+00:00,3243.9527290057795
2024-04-24 02:12:11+00:00,3243.8427206860806
2024-04-24 02:12:21+00:00,3243.7332292027713
2024-04-24 02:12:31+00:00,3243.6247278514097
2024-04-24 02:12:41+00:00,3243.516259872733
2024-04-24 02:12:51+00:00,3243.4089422657134
2024-04-24 02:13:01+00:00,3243.300918914252
2024-04-24 02:13:11+00:00,3243.1913068424587
2024-04-24 02:13:21+00:00,3243.072349870992
2024-04-24 02:13:31+00:00,3242.9517834780117
2024-04-24 02:13:41+00:00,3242.8304786890667
2024-04-24 02:13:51+00:00,3242.7100237403765
2024-04-24 02:14:01+00:00,3242.5855920702356
2024-04-24 02:14:11+00:00,3242.4644679844428
2024-04-24 02:14:21+00:00,3242.3443380642852
2024-04-24 02:14:31+00:00,3242.2278804073712
2024-04-24 02:14:41+00:00,3242.1125844233984
2024-04-24 02:14:51+00:00,3241.989968104133
2024-04-24 02:15:01+00:00,3241.862657763249
2024-04-24 02:15:11+00:00,3241.7311719104646
2024-04-24 02:15:21+00:00,3241.594822883871
2024-04-24 02:15:31+00:00,3241.462034451575
2024-04-24 02:15:41+00:00,3241.334328333481
2024-04-24 02:15:51+00:00,3241.217240873763
2024-04-24 02:16:01+00:00,3241.105858936633
2024-04-24 02:16:11+00:00,3240.991141166117
2024-04-24 02:16:21+00:00,3240.873116703012
2024-04-24 02:16:31+00:00,3240.7510005978543
2024-04-24 02:16:41+00:00,3240.6217544554534
2024-04-24 02:16:51+00:00,3240.493500821749
2024-04-24 02:17:01+00:00,3240.3672203129313
2024-04-24 02:17:11+00:00,3240.2407331188706
2024-04-24 02:17:21+00:00,3240.1113412165473
2024-04-24 02:17:31+00:00,3239.988679641277
2024-04-24 02:17:41+00:00,3239.8683191141777
2024-04-24 02:17:51+00:00,3239.750494230556
2024-04-24 02:18:01+00:00,3239.632670841951
2024-04-24 02:18:11+00:00,3239.5094305112493
2024-04-24 02:18:21+00:00,3239.384235114738
2024-04-24 02:18:31+00:00,3239.265251796144
2024-04-24 02:18:41+00:00,3239.1439167724734
2024-04-24 02:18:51+00:00,3239.022698313796
2024-04-24 02:19:01+00:00,3238.9021979600116
2024-04-24 02:19:11+00:00,3238.7830350298236
2024-04-24 02:19:21+00:00,3238.6614166320005
2024-04-24 02:19:31+00:00,3238.5148763754264
2024-04-24 02:19:41+00:00,3238.367076282448
2024-04-24 02:19:51+00:00,3238.217764484122
